algorithm,input_bytes,pattern,iterations,total_ns,ns_per_op,throughput_mbs
blake3,8,random,2613248,200035083,76.54653634098256,104.51158709994885
blake3,8,low_entropy,2639872,200073166,75.78896476798874,105.55626435181217
blake3,8,repeating,2553856,200064375,78.33815806372795,102.12136968413292
blake3,16,random,2616320,200066792,76.46877751956947,209.23572363773397
blake3,16,low_entropy,2641920,200072833,75.73008758781492,211.2766604349527
blake3,16,repeating,2622464,200007625,76.26706219799395,209.78912178973178
blake3,32,random,2621440,200008916,76.29734649658204,419.4117026262969
blake3,32,low_entropy,2179072,200072791,91.81559443653077,348.5246727027465
blake3,32,repeating,2599936,200056291,76.94662137837238,415.8727105462532
blake3,64,random,2596864,200066584,77.04161018828864,830.7199167253237
blake3,64,low_entropy,2620416,200011500,76.32814789712778,838.4849071178407
blake3,64,repeating,2633728,200047750,75.95611619726866,842.5917912098487
blake3,256,random,669696,200123166,298.82687965883025,856.6833087179922
blake3,256,low_entropy,662528,200113083,302.044718110027,847.5566187743957
blake3,256,repeating,666624,200251500,300.39647537442397,852.2070696099655
blake3,1024,random,167936,200359667,1193.0715689310214,858.2888291584154
blake3,1024,low_entropy,167936,200596750,1194.4833150724085,857.2744274271643
blake3,1024,repeating,166912,201144834,1205.095104006902,849.7254669737131
blake3,4096,random,86016,200761334,2333.9998837425596,1754.927251081127
blake3,4096,low_entropy,87040,202304459,2324.269979319853,1762.273761845259
blake3,4096,repeating,86016,201225125,2339.391799200149,1750.882430809771
blake3,16384,random,22528,203945417,9052.974831321022,1809.791842490876
blake3,16384,low_entropy,22528,203111375,9015.952370383522,1817.2234420647292
blake3,16384,repeating,22528,203736667,9043.70858487216,1811.6461677465254
blake3,65536,random,6144,220305667,35857.042154947914,1827.7023441253555
blake3,65536,low_entropy,6144,219615750,35744.7509765625,1833.4440221159002
blake3,65536,repeating,6144,220246334,35847.385091145836,1828.1947158312291
blake3_keyed,8,random,2612224,200039666,76.57829726700314,104.4682408137994
blake3_keyed,8,low_entropy,2633728,200073084,75.96573526195567,105.31063738688609
blake3_keyed,8,repeating,2633728,200035083,75.95130666492516,105.33064342518357
blake3_keyed,16,random,2639872,200073458,75.78907537941234,211.11222059249857
blake3_keyed,16,low_entropy,2612224,200063459,76.58740559768228,208.91163338328565
blake3_keyed,16,repeating,2560000,200039625,78.140478515625,204.75943203752757
blake3_keyed,32,random,2551808,200026750,78.38628533181179,408.23467861173566
blake3_keyed,32,low_entropy,2578432,200021500,77.57485944946386,412.50477573660834
blake3_keyed,32,repeating,2584576,200011959,77.38675860179774,413.5074343229646
blake3_keyed,64,random,2619392,205332708,78.38945373582877,816.4363565496832
blake3_keyed,64,low_entropy,2352128,200083000,85.06467335111014,752.368726978304
blake3_keyed,64,repeating,2613248,200092208,76.56839611089342,835.8539978728207
blake3_keyed,256,random,668672,200293541,299.53929729374045,854.6457920977092
blake3_keyed,256,low_entropy,667648,200050542,299.63475064704755,854.373531264914
blake3_keyed,256,repeating,664576,200198958,301.2431354728428,849.8118956243518
blake3_keyed,1024,random,165888,200290541,1207.3841447241512,848.114499825531
